timer,fight_result,has_round_started,is_round_over,player1_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p1_in_move,p1_move_id,player1_buttons_up,player1_buttons_down,player1_buttons_right,player1_buttons_left,player1_buttons_select,player1_buttons_start,player1_buttons_y,player1_buttons_b,player1_buttons_x,player1_buttons_a,player1_buttons_l,player1_buttons_r,player2_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,p2_in_move,p2_move_id,player2_buttons_up,player2_buttons_down,player2_buttons_right,player2_buttons_left,player2_buttons_select,player2_buttons_start,player2_buttons_y,player2_buttons_b,player2_buttons_x,player2_buttons_a,player2_buttons_l,player2_buttons_r,diff_x,diff_y,diff_health
150,NOT_OVER,True,False,0,176,190,192,False,True,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,176,260,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,-70,0,0
150,NOT_OVER,True,False,0,176,190,192,False,True,True,33554432,False,False,False,False,False,False,False,False,False,True,False,False,6,170,253,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,-63,0,6
131,NOT_OVER,True,False,0,112,294,192,False,True,False,0,False,False,False,False,False,False,False,False,True,False,False,False,6,146,223,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,71,0,-34
128,NOT_OVER,True,False,0,112,342,192,False,False,False,0,False,False,False,False,False,False,False,True,False,False,False,False,6,122,268,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,74,0,-10
119,NOT_OVER,True,False,0,81,389,192,False,True,False,0,False,False,False,False,False,False,False,False,False,True,False,False,6,122,322,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,67,0,-41
99,NOT_OVER,True,False,0,81,257,192,False,False,False,0,False,False,False,False,False,False,False,True,False,False,False,False,6,62,92,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,165,0,19
97,NOT_OVER,True,False,0,81,255,192,False,True,False,0,False,False,False,False,False,False,False,False,True,False,False,False,6,62,85,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,170,0,19
89,NOT_OVER,True,False,0,81,267,192,False,True,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,62,202,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,65,0,19
70,NOT_OVER,True,False,0,81,267,192,False,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,6,8,117,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,150,0,73
68,NOT_OVER,True,False,0,81,268,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,True,False,6,8,207,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,61,0,73
66,NOT_OVER,True,False,0,81,268,192,False,True,True,33555460,False,False,False,False,False,False,False,False,False,False,False,True,6,8,148,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,120,0,73
153,NOT_OVER,False,False,0,176,231,192,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,6,176,285,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,-54,0,0
150,NOT_OVER,True,False,0,176,257,192,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,6,128,340,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,-83,0,48
148,NOT_OVER,True,False,0,176,240,192,False,True,False,0,False,False,False,False,False,False,False,False,False,True,False,False,6,128,285,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,-45,0,48
137,NOT_OVER,True,False,0,123,219,192,False,True,False,0,False,False,False,False,False,False,False,True,False,False,False,False,6,104,272,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,-53,0,19
133,NOT_OVER,True,False,0,90,171,192,False,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,6,99,229,192,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,-58,0,-9
